Назва установи / Закладу вищої освіти,Установа,Підпорядкування,Регіон,ЄДРПОУ,Область,Напрям,Класифікаційна оцінка,Експертна оцінка,Зважена сумарна оцінка (80/20),Нормована зважена сумарна оцінка,Регіональний коєфіцієнт,Коєфіцієнт руйнувань,Атестаційна оцінка,Група,Назва показника,Показник,Індикатор,Нормований індикатор
НАЦІОНАЛЬНИЙ НАУКОВИЙ ЦЕНТР «ІНСТИТУТ ҐРУН­ТО­ЗНАВ­СТВА ТА АГРОХІМІЇ ІМЕНІ О. Н. СОКОЛОВСЬКОГО»,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497058,Харківська область,Аграрно-ветеринарний,28.372,7.1667,24.1309,92.4304,1.1,1.0,100,А,"Кількість молодих вчених П6, І3",13.6,0.207,1.0
Інститут водних проблем і меліорації Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,1018947,Київ,Аграрно-ветеринарний,31.0135,6.4817,26.1071,100.0,1.0,1.0,100,А,"Кількість молодих вчених П6, І3",11.2,0.137,1.0
"Національний науковий центр ""Інститут експериментальної і клінічної ветеринарної медицини""",Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497086,Харківська область,Аграрно-ветеринарний,27.2397,6.8333,23.1584,88.7054,1.1,1.0,98,А,"Кількість молодих вчених П6, І3",11.4,0.143,1.0
Інститут біоенергетичних культур і цукрових буряків Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,489780,Київська область,Аграрно-ветеринарний,27.2374,6.8573,23.1614,88.7169,1.0,1.0,89,А,"Кількість молодих вчених П6, І3",5.4,0.077,0.1833
Державний науково-дослідний інститут з лабораторної діагностики та ветеринарно-санітарної експертизи,Наукова установа,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,інші області,699690,Київ,Аграрно-ветеринарний,26.8699,4.9667,22.4893,86.1425,1.0,1.0,86,А,"Кількість молодих вчених П6, І3",10.6,0.21,1.0
Інститут сільського господарства Карпатського регіону Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,496952,Львівська область,Аграрно-ветеринарний,26.4891,4.7777,22.1468,84.8306,1.0,1.0,85,А,"Кількість молодих вчених П6, І3",8.8,0.1,0.2381
Інститут рослинництва ім. В.Я. Юр'єва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497176,Харківська область,Аграрно-ветеринарний,17.0976,7.1333,15.1047,57.8567,1.1,1.3,83,А,"Кількість молодих вчених П6, І3",18.6,0.159,1.0
"Національний науковий центр ""Інститут землеробства Національної академії аграрних наук України""",Наукова установа,Національна академія агрраних наук України,інші області,496834,Київська область,Аграрно-ветеринарний,24.4597,4.8667,20.5411,78.6801,1.0,1.0,79,А,"Кількість молодих вчених П6, І3",36.0,0.237,1.0
Інститут олійних культур Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",1296051,Запорізька область,Аграрно-ветеринарний,22.3789,3.4667,18.5965,71.2316,1.1,1.0,78,А,"Кількість молодих вчених П6, І3",3.4,0.081,0.1929
Інститут сільськогосподарської мікробіології та агропромислового виробництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",497360,Чернігівська область,Аграрно-ветеринарний,18.6678,4.6297,15.8602,60.7505,1.05,1.22,78,А,"Кількість молодих вчених П6, І3",4.8,0.149,1.0
Інститут агроекології і природокористування Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,13722478,Київ,Аграрно-ветеринарний,22.4295,4.6333,18.8703,72.2803,1.0,1.0,72,Б,"Кількість молодих вчених П6, І3",17.4,0.235,1.0
Державна установа Інститут зернових культур Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",496662,Дніпропетровська область,Аграрно-ветеринарний,20.5148,5.2083,17.4535,66.8535,1.05,1.0,70,Б,"Кількість молодих вчених П6, І3",15.8,0.148,1.0
ІНСТИТУТ ЗАХИСТУ РОСЛИН НАЦІОНАЛЬНОЇ АКАДЕМІЇ АГРАРНИХ НАУК УКРАЇНИ,Наукова установа,Національна академія агрраних наук України,інші області,5523406,Київ,Аграрно-ветеринарний,21.2785,5.7667,18.1761,69.6213,1.0,1.0,70,Б,"Кількість молодих вчених П6, І3",7.6,0.139,1.0
Інститут садівництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,413297,Київська область,Аграрно-ветеринарний,20.4388,7.0,17.751,67.993,1.0,1.0,68,Б,"Кількість молодих вчених П6, І3",15.4,0.2,1.0
Інститут біології тварин Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,30995014,Львівська область,Аграрно-ветеринарний,19.4269,5.6667,16.6749,63.8711,1.0,1.0,64,Б,"Кількість молодих вчених П6, І3",11.6,0.188,1.0
"Український ордена ""Знак Пошани"" науково-дослідний інститут лісового господарства та агролісомеліорації імені Г.М. Висоцького Державного агенства лісових ресурсів України та Національної академії наук України",Наукова установа,Національна академія наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",994064,Харківська область,Аграрно-ветеринарний,16.1159,5.111,13.9149,53.2993,1.1,1.038,61,Б,"Кількість молодих вчених П6, І3",12.0,0.165,1.0
Інститут ветеринарної медицини Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,5510830,Київ,Аграрно-ветеринарний,18.5045,4.3667,15.6769,60.0484,1.0,1.0,60,Б,"Кількість молодих вчених П6, І3",4.0,0.205,1.0
Інститут рибного господарства Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,4372342,Київ,Аграрно-ветеринарний,17.384,5.7667,15.0605,57.6874,1.0,1.0,58,Б,"Кількість молодих вчених П6, І3",13.4,0.206,1.0
Інститут розведення і генетики тварин імені М.В. Зубця НААН,Наукова установа,Національна академія агрраних наук України,інші області,5408024,Київська область,Аграрно-ветеринарний,17.0899,6.8333,15.0386,57.6035,1.0,1.0,58,Б,"Кількість молодих вчених П6, І3",3.8,0.066,0.1571
Селекційно-генетичний інститут - Національний центр насіннєзнавства та сортовивчення,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",494628,Одеська область,Аграрно-ветеринарний,13.6944,7.0,12.3555,47.3262,1.05,1.13,56,Б,"Кількість молодих вчених П6, І3",10.8,0.136,1.0
Інститут кормів та сільського господарства Поділля Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,496588,Вінницька область,Аграрно-ветеринарний,17.2563,4.5557,14.7162,56.3686,1.0,1.0,56,Б,"Кількість молодих вчених П6, І3",12.4,0.17,1.0
Інститут свинарства і агропромислового виробництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,497006,Полтавська область,Аграрно-ветеринарний,17.0949,4.611,14.5981,55.9162,1.0,1.0,56,Б,"Кількість молодих вчених П6, І3",5.6,0.146,1.0
Донецька державна сільськогосподарська дослідна станція Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",729333,Донецька область,Аграрно-ветеринарний,13.9359,5.7777,12.3043,47.1301,1.15,1.0,54,Б,"Кількість молодих вчених П6, І3",6.0,0.4,1.0
Інститут сільського господарства Степу Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,729907,Кіровоградська область,Аграрно-ветеринарний,16.2817,4.6667,13.9587,53.4671,1.0,1.0,53,Б,"Кількість молодих вчених П6, І3",2.8,0.13,0.3095
Державний науково-дослідний контрольний інститут ветеринарних препаратів та кормових добавок,Наукова установа,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,інші області,485670,Львівська область,Аграрно-ветеринарний,14.2214,4.3887,12.2549,46.9409,1.0,1.108,52,Б,"Кількість молодих вчених П6, І3",4.0,0.039,0.0929
Інститут луб'яних культур Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497845,Сумська область,Аграрно-ветеринарний,13.7945,5.3333,12.1023,46.3564,1.1,1.016,52,Б,"Кількість молодих вчених П6, І3",1.6,0.082,0.1952
Інститут овочівництва і баштанництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497124,Харківська область,Аграрно-ветеринарний,13.9342,4.6667,12.0807,46.2736,1.1,1.008,51,Б,"Кількість молодих вчених П6, І3",11.6,0.21,1.0
Державна дослідна станція птахівництва Інституту тваринництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",39217680,Харківська область,Аграрно-ветеринарний,13.3755,5.111,11.7226,44.902,1.1,1.0,49,В,"Кількість молодих вчених П6, І3",0.6,0.048,0.1143
Одеська державна сільськогосподарська дослідна станція Інституту кліматично орієнтованого сільського господарства Національної академії аграрних наук,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",729511,Одеська область,Аграрно-ветеринарний,13.4211,6.6663,12.0701,46.233,1.05,1.0,49,В,"Кількість молодих вчених П6, І3",2.6,0.169,1.0
Інститут картоплярства Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,496828,Київська область,Аграрно-ветеринарний,14.4499,6.7333,12.9066,49.4371,1.0,1.0,49,В,"Кількість молодих вчених П6, І3",15.6,0.281,1.0
Інститут сільського господарства Північного Сходу Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",724927,Сумська область,Аграрно-ветеринарний,12.803,5.1667,11.2757,43.1902,1.1,1.0,48,В,"Кількість молодих вчених П6, І3",1.8,0.123,0.2929
Прикарпатська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,704273,Івано-Франківська область,Аграрно-ветеринарний,13.2314,4.611,11.5073,44.0773,1.0,1.0,44,В,"Кількість молодих вчених П6, І3",4.0,0.122,0.2905
Український науково-дослідний інститут гірського лісівництва імені П.С. Пастернака,Наукова установа,"Міністерство захисту довкілля та природних ресурсів України, Державне агентство лісових ресурсів України, Національна академія наук України",інші області,994147,Івано-Франківська область,Аграрно-ветеринарний,13.2634,6.0667,11.8241,45.2907,1.0,1.0,45,В,"Кількість молодих вчених П6, І3",5.4,0.287,1.0
Український інститут експертизи сортів рослин,Наукова установа,Міністерство аграрної політики та продовольства України,інші області,488332,Київ,Аграрно-ветеринарний,12.8743,6.7,11.6394,44.5833,1.0,1.0,45,В,"Кількість молодих вчених П6, І3",20.2,0.23,1.0
"Національний науковий центр ""Інститут виноградарства і виноробства імені В.Є. Таїрова""",Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",5431532,Одеська область,Аграрно-ветеринарний,12.4396,4.9,10.9317,41.8725,1.05,1.0,44,В,"Кількість молодих вчених П6, І3",12.2,0.268,1.0
Носівська селекційно-дослідна станція Миронівського інституту пшениці імені В.М. Ремесла Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",14244013,Чернігівська область,Аграрно-ветеринарний,11.2891,5.6667,10.1646,38.9342,1.05,1.0,41,В,"Кількість молодих вчених П6, І3",1.0,0.078,0.1857
"Державна наукова установа ""Український науково-дослідний інститут прогнозування та випробовування техніки і технологій для сільськогосподарського виробництва імені Леоніда Погорілого""",Наукова установа,Міністерство аграрної політики та продовольства України,інші області,4604309,Київська область,Аграрно-ветеринарний,11.7108,5.0477,10.3782,39.7524,1.0,1.0,40,В,"Кількість молодих вчених П6, І3",1.8,0.03,0.0714
Миронівський інститут пшениці імені В.М. Ремесла Національна академія аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,496863,Київська область,Аграрно-ветеринарний,11.6582,5.8667,10.4999,40.2186,1.0,1.0,40,В,"Кількість молодих вчених П6, І3",15.0,0.42,1.0
Тернопільська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії наук України,Наукова установа,Національна академія агрраних наук України,інші області,4766584,Тернопільська область,Аграрно-ветеринарний,10.4025,4.9167,9.3053,35.6428,1.0,1.0,36,В,"Кількість молодих вчених П6, І3",1.2,0.05,0.119
Черкаська дослідна станція біоресурсів Національної академії наук України,Наукова установа,Національна академія агрраних наук України,інші області,1598301,Черкаська область,Аграрно-ветеринарний,10.6514,4.0,9.3211,35.7033,1.0,1.0,36,В,"Кількість молодих вчених П6, І3",4.4,0.292,1.0
Інститут Тваринництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497199,Харківська область,Аграрно-ветеринарний,9.4894,5.0477,8.6011,32.9454,1.1,1.0,36,В,"Кількість молодих вчених П6, І3",5.2,0.086,0.2048
Державний науково-контрольний інститут біотехнології і штамів мікроорганізмів,Наукова установа,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,інші області,19024865,Київ,Аграрно-ветеринарний,9.7087,6.2223,9.0114,34.517,1.0,1.0,35,В,"Кількість молодих вчених П6, І3",4.0,0.132,1.0
Буковинська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,729868,Чернівецька область,Аграрно-ветеринарний,9.808,4.5833,8.7631,33.566,1.0,1.0,34,В,"Кількість молодих вчених П6, І3",0.0,0.0,0.0
Інститут сільського господарства Полісся Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,5453752,Житомирська область,Аграрно-ветеринарний,9.5156,5.389,8.6903,33.2871,1.0,1.0,33,В,"Кількість молодих вчених П6, І3",2.4,0.066,0.1571
Волинська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,13368842,Волинська область,Аграрно-ветеринарний,9.7196,3.5,8.4757,32.4651,1.0,1.0,32,В,"Кількість молодих вчених П6, І3",0.6,0.042,0.1
Дослідна станція карантину винограду і плодових культур Інституту захисту рослин Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",495102,Одеська область,Аграрно-ветеринарний,8.536,4.5,7.7288,29.6042,1.05,1.0,31,В,"Кількість молодих вчених П6, І3",0.0,0.0,0.0
Інститут сільського господарства Західного Полісся Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,729600,Рівненська область,Аграрно-ветеринарний,9.0122,4.4667,8.1031,31.0379,1.0,1.0,31,В,"Кількість молодих вчених П6, І3",4.8,0.205,1.0
Прилуцька дослідна станція Інституту садівництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",495214,Чернігівська область,Аграрно-ветеринарний,7.9895,4.111,7.2138,27.6316,1.05,1.0,29,В,"Кількість молодих вчених П6, І3",0.4,0.038,0.0905
Дослідна станція лікарських рослин Інституту агроекології і природокористування Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,482312,Полтавська область,Аграрно-ветеринарний,7.6374,6.3333,7.3766,28.2551,1.0,1.0,28,В,"Кількість молодих вчених П6, І3",0.2,0.016,0.0381
"Державна установа ""Інститут охорони грунтів України""",Наукова установа,Міністерство аграрної політики та продовольства України,інші області,25835792,Київська область,Аграрно-ветеринарний,7.0989,5.0743,6.694,25.6405,1.0,1.049,27,В,"Кількість молодих вчених П6, І3",35.2,0.129,0.3071
Українська науково-дослідна станція карантину рослин Інституту захисту рослин Національної академії аграрних наук,Наукова установа,Національна академія агрраних наук України,інші області,495832,Одеська область,Аграрно-ветеринарний,7.066,6.6667,6.9861,26.7594,1.0,1.0,27,В,"Кількість молодих вчених П6, І3",4.2,0.179,1.0
Інститут аграрних ресурсів та регіонального розвитку Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,729391,Івано-Франківська область,Аграрно-ветеринарний,7.4837,4.7037,6.9277,26.5357,1.0,1.0,27,В,"Кількість молодих вчених П6, І3",3.4,0.119,0.2833
"Інститут тваринництва степових районів імені М.Ф. Іванова ""Асканія-Нова"" - Національний науковий селекційно-генетичний центр вівчарства",Наукова установа,Національна академія агрраних наук України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",497265,Херсонська область,Аграрно-ветеринарний,6.3266,4.875,6.0363,23.1213,1.15,1.0,27,В,"Кількість молодих вчених П6, І3",2.2,0.081,0.1929
Верхняцька дослідно-селекційна станція Інституту біоенергетичних культур і цукрових буряків Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,495817,Черкаська область,Аграрно-ветеринарний,7.2253,5.6667,6.9136,26.4817,1.0,1.0,26,В,"Кількість молодих вчених П6, І3",0.0,0.0,0.0
Потавська державна сільськогосподарська дослідна станція імені М.І. Вавилова Інституту свинарства і агропромислового виробництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,729534,Полтавська область,Аграрно-ветеринарний,6.9857,5.1667,6.6219,25.3644,1.0,1.0,25,В,"Кількість молодих вчених П6, І3",1.2,0.064,0.1524
"Черкаська державна сільськогосподарська дослідна станція Національного наукового центру ""Інститут землеробства Національної академії аграрних наук України""",Наукова установа,Національна академія агрраних наук України,інші області,14198402,Черкаська область,Аграрно-ветеринарний,6.7425,4.4167,6.2773,24.0444,1.0,1.0,24,Г,"Кількість молодих вчених П6, І3",1.6,0.081,0.1929
Дослідна станція помології ім. Л.П. Симиренка Інституту садівництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,497331,Черкаська область,Аграрно-ветеринарний,5.8953,5.8887,5.894,22.5762,1.0,1.0,23,Г,"Кількість молодих вчених П6, І3",3.0,0.246,1.0
Устимівська дослідна станція рослинництва Інституту рослинництва імені В.Я. Юр'єва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,497012,Полтавська область,Аграрно-ветеринарний,6.0412,6.5,6.133,23.4917,1.0,1.0,23,Г,"Кількість молодих вчених П6, І3",0.8,0.051,0.1214
"Панфильська дослідна станція Національного наукового центру ""Інститут землеробства Національної академії аграрних наук України""",Наукова установа,Національна академія агрраних наук України,інші області,496871,Київська область,Аграрно-ветеринарний,5.2497,5.111,5.222,20.0022,1.0,1.0,20,Г,"Кількість молодих вчених П6, І3",1.0,0.098,0.2333
"Національний науковий центр ""Інститут бджільництва імені П.І. Прокоповича""",Наукова установа,Національна академія агрраних наук України,інші області,3079829,Київ,Аграрно-ветеринарний,4.4513,5.3333,4.6277,17.7258,1.0,1.0,18,Г,"Кількість молодих вчених П6, І3",3.0,0.086,0.2048
Хмельницька державна сільськогосподарська станція Інституту кормів та сільського господарства Поділля Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,21321872,Хмельницька область,Аграрно-ветеринарний,3.9514,4.5557,4.0723,15.5984,1.0,1.0,16,Г,"Кількість молодих вчених П6, І3",0.2,0.013,0.031
ІНСТИТУТ ЕКОНОМІКИ ПРОМИСЛОВОСТІ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ,Наукова установа,Національна академія наук України,інші області,5420557,Київ,Суспільний,24.1773,7.111,20.764,100.0,1.0,1.0,100,А,"Кількість молодих вчених П6, І3",7.0,0.108,0.2227
