№,Статус,Повне найменування наукової установи / закладу вищої освіти *,Підпорядкованість,Юридична особа*,Регіон розташування НУ / ЗВО,Область,Науковий напрям * Рівень 0,Група,Показник,Рік,Значення
11813,Затверджено,Державна науково-технічна бібліотека України,Міністерство освіти і науки України,Наукова установа,інші області,Київська,Суспільний,Б,"Кількість статей, Scopus/WoS, Q1-Q2",2019,4
11819,Затверджено,Інститут психології імені Г.С. Костюка НАПН України,Національна академія педагогічних наук України,Наукова установа,інші області,Одеська,Суспільний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,1
11820,Затверджено,Черкаський національний університет імені Богдана Хмельницького,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Харківська,Суспільний,Г,"Кількість статей, Scopus/WoS, Q1-Q2",2019,4
11821,Затверджено,Університет Григорія Сковороди в Переяславі,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Миколаївська,Суспільний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,2
11822,Затверджено,Глухівський національний педагогічний університет імені Олександра Довженка,Міністерство освіти і науки України,Заклад вищої освіти,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",Сумська,Суспільний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,2
11823,Затверджено,"Державна установа ""Інститут охорони грунтів України""",Міністерство аграрної політики та продовольства України,Наукова установа,інші області,Вінницька,Аграрно-ветеринарний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11825,Затверджено,Дослідна станція карантину винограду і плодових культур Інституту захисту рослин Національної академії аграрних наук України,Національна академія агрраних наук України,Наукова установа,"Дніпропетровська, Одеська, Чернігівська область",Одеська,Аграрно-ветеринарний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11826,Затверджено,Уманський державний педагогічний університет імені Павла Тичини,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Харківська,Суспільний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,3
11827,Затверджено,Державний науково-дослідний контрольний інститут ветеринарних препаратів та кормових добавок,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,Наукова установа,інші області,Миколаївська,Аграрно-ветеринарний,Б,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11829,Затверджено,Національний університет “Запорізька політехніка”,Міністерство освіти і науки України,Заклад вищої освіти,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",Сумська,Суспільний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,5
11832,Затверджено,Київський університет права Національної академії наук України,Національна академія наук України,Заклад вищої освіти,інші області,Вінницька,Суспільний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11833,Затверджено,Український інститут експертизи сортів рослин,Міністерство аграрної політики та продовольства України,Наукова установа,інші області,Київська,Аграрно-ветеринарний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11834,Затверджено,"Державна наукова установа ""Інститут інформації, безпеки і права Національної академії правових наук України""",Національна академія правових наук України,Наукова установа,інші області,Одеська,Суспільний,Б,"Кількість статей, Scopus/WoS, Q1-Q2",2019,1
11835,Затверджено,Інститут держави і права імені В.М. Корецького НАН України,Національна академія наук України,Наукова установа,інші області,Харківська,Суспільний,А,"Кількість статей, Scopus/WoS, Q1-Q2",2019,3
11837,Затверджено,"ЗАКЛАД ВИЩОЇ ОСВІТИ ""ПОДІЛЬСЬКИЙ ДЕРЖАВНИЙ УНІВЕРСИТЕТ""",Міністерство освіти і науки України,Заклад вищої освіти,інші області,Миколаївська,Суспільний,Г,"Кількість статей, Scopus/WoS, Q1-Q2",2019,1
11838,Затверджено,"ЗАКЛАД ВИЩОЇ ОСВІТИ ""ПОДІЛЬСЬКИЙ ДЕРЖАВНИЙ УНІВЕРСИТЕТ""",Міністерство освіти і науки України,Заклад вищої освіти,інші області,Сумська,Аграрно-ветеринарний,Г,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11839,Затверджено,Бердянський державний педагогічний університет,Міністерство освіти і науки України,Заклад вищої освіти,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",Вінницька,Суспільний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,2
11840,Затверджено,Буковинська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії аграрних наук України,Національна академія агрраних наук України,Наукова установа,інші області,Київська,Аграрно-ветеринарний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11841,Затверджено,Донецька державна сільськогосподарська дослідна станція Національної академії аграрних наук України,Національна академія агрраних наук України,Наукова установа,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",Одеська,Аграрно-ветеринарний,Б,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11842,Затверджено,ІНСТИТУТ ВИЩОЇ ОСВІТИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ ПЕДАГОГІЧНИХ НАУК УКРАЇНИ,Національна академія педагогічних наук України,Наукова установа,інші області,Харківська,Суспільний,А,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11843,Затверджено,Інститут аграрних ресурсів та регіонального розвитку Національної академії аграрних наук України,Національна академія агрраних наук України,Наукова установа,інші області,Миколаївська,Аграрно-ветеринарний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11844,Затверджено,Інститут інноваційної біоекономіки,Національна академія агрраних наук України,Наукова установа,інші області,Сумська,Суспільний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11845,Затверджено,Київський національний університет технологій та дизайну,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Вінницька,Суспільний,Б,"Кількість статей, Scopus/WoS, Q1-Q2",2019,20
11846,Затверджено,Київський науково-дослідний інститут судових експертиз Міністерства юстиції України,Міністерство юстиції України,Наукова установа,інші області,Київська,Суспільний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11849,Затверджено,Львівський національний університет імені Івана Франка,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Одеська,Суспільний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,4
11850,Затверджено,Миронівський інститут пшениці імені В.М. Ремесла Національна академія аграрних наук України,Національна академія агрраних наук України,Наукова установа,інші області,Харківська,Аграрно-ветеринарний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11851,Затверджено,Інститут сільського господарства Карпатського регіону Національної академії аграрних наук України,Національна академія агрраних наук України,Наукова установа,інші області,Миколаївська,Аграрно-ветеринарний,А,"Кількість статей, Scopus/WoS, Q1-Q2",2019,1
11852,Затверджено,Тернопільський національний технічний університет імені Івана Пулюя,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Сумська,Суспільний,Б,"Кількість статей, Scopus/WoS, Q1-Q2",2019,6
11854,Затверджено,Тернопільський національний технічний університет імені Івана Пулюя,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Вінницька,Аграрно-ветеринарний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,9
11855,Затверджено,Інститут сільського господарства Західного Полісся Національної академії аграрних наук України,Національна академія агрраних наук України,Наукова установа,інші області,Київська,Аграрно-ветеринарний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11856,Затверджено,Інститут сільського господарства Полісся Національної академії аграрних наук України,Національна академія агрраних наук України,Наукова установа,інші області,Одеська,Аграрно-ветеринарний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11857,Затверджено,Державний науково-контрольний інститут біотехнології і штамів мікроорганізмів,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,Наукова установа,інші області,Харківська,Аграрно-ветеринарний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11858,Затверджено,Державний науково-дослідний інститут з лабораторної діагностики та ветеринарно-санітарної експертизи,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,Наукова установа,інші області,Миколаївська,Аграрно-ветеринарний,А,"Кількість статей, Scopus/WoS, Q1-Q2",2019,1
11859,Затверджено,Київський національний університет імені Тараса Шевченка,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Сумська,Суспільний,А,"Кількість статей, Scopus/WoS, Q1-Q2",2019,42
11860,Затверджено,"Національний науковий центр ""Інститут виноградарства і виноробства імені В.Є. Таїрова""",Національна академія агрраних наук України,Наукова установа,"Дніпропетровська, Одеська, Чернігівська область",Вінницька,Аграрно-ветеринарний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11861,Затверджено,Університет митної справи та фінансів,Міністерство освіти і науки України,Заклад вищої освіти,"Дніпропетровська, Одеська, Чернігівська область",Київська,Суспільний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,6
11862,Затверджено,"Панфильська дослідна станція Національного наукового центру ""Інститут землеробства Національної академії аграрних наук України""",Національна академія агрраних наук України,Наукова установа,інші області,Одеська,Аграрно-ветеринарний,Г,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11863,Затверджено,Національний університет «Чернігівська політехніка»,Міністерство освіти і науки України,Заклад вищої освіти,"Дніпропетровська, Одеська, Чернігівська область",Харківська,Суспільний,Б,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11864,Затверджено,Національний університет «Чернігівська політехніка»,Міністерство освіти і науки України,Заклад вищої освіти,"Дніпропетровська, Одеська, Чернігівська область",Миколаївська,Аграрно-ветеринарний,Г,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11865,Затверджено,Національний університет фізичного виховання і спорту України,Міністерство освіти і науки України,Заклад вищої освіти,інші області,Сумська,Суспільний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11866,Затверджено,Харківський національний економічний університет імені Семена Кузнеця,Міністерство освіти і науки України,Заклад вищої освіти,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",Вінницька,Суспільний,А,"Кількість статей, Scopus/WoS, Q1-Q2",2019,16
11867,Затверджено,"Черкаська державна сільськогосподарська дослідна станція Національного наукового центру ""Інститут землеробства Національної академії аграрних наук України""",Національна академія агрраних наук України,Наукова установа,інші області,Київська,Аграрно-ветеринарний,Г,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11868,Затверджено,Державний університет економіки і технологій,Міністерство освіти і науки України,Заклад вищої освіти,"Дніпропетровська, Одеська, Чернігівська область",Одеська,Суспільний,Г,"Кількість статей, Scopus/WoS, Q1-Q2",2019,0
11869,Затверджено,Запорізький національний університет,Міністерство освіти і науки України,Заклад вищої освіти,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",Харківська,Суспільний,Б,"Кількість статей, Scopus/WoS, Q1-Q2",2019,9
11870,Затверджено,Ізмаїльський державний гуманітарний університет,Міністерство освіти і науки України,Заклад вищої освіти,"Дніпропетровська, Одеська, Чернігівська область",Миколаївська,Суспільний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,3
11871,Затверджено,Таврійський державний агротехнологічний університет імені Дмитра Моторного,Міністерство освіти і науки України,Заклад вищої освіти,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",Сумська,Суспільний,Б,"Кількість статей, Scopus/WoS, Q1-Q2",2019,1
11872,Затверджено,Державна дослідна станція птахівництва Інституту тваринництва Національної академії аграрних наук України,Національна академія агрраних наук України,Наукова установа,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",Вінницька,Аграрно-ветеринарний,В,"Кількість статей, Scopus/WoS, Q1-Q2",2019,1
11873,Затверджено,ІНСТИТУТ ЗАХИСТУ РОСЛИН НАЦІОНАЛЬНОЇ АКАДЕМІЇ АГРАРНИХ НАУК УКРАЇНИ,Національна академія агрраних наук України,Наукова установа,інші області,Київська,Аграрно-ветеринарний,Б,"Кількість статей, Scopus/WoS, Q1-Q2",2019,1
