№,Індикатор,Назва індикатору,Тип установи,Напрям,Медіана
1,I1,Захисти доктори філософії,Заклад вищої освіти,Суспільний,0.037
2,I2,Захисти доктори наук,Заклад вищої освіти,Суспільний,0.014
3,I3,Кількість молодих вчених,Заклад вищої освіти,Суспільний,0.259
4,I4,Кількість наукових працівників за основним місцем роботи**,Заклад вищої освіти,Суспільний,0.0
5,I5,Показник гендерної рівності,Заклад вищої освіти,Суспільний,0.064
6,I6,Кількість дослідників із науковими ступенями,Заклад вищої освіти,Суспільний,0.811
7,I7,Кількість проведених експертиз,Заклад вищої освіти,Суспільний,0.009
8,I8,"Обсяги залучення міжнародного грантового фінансування (Горизонт, НАТО Євратом)",Заклад вищої освіти,Суспільний,0.0
9,I9,Обсяги залучення міжнародного грантового фінансування (інші програми),Заклад вищої освіти,Суспільний,3.11
10,I10,Обсяги залучення державного грантового фінансування,Заклад вищої освіти,Суспільний,0.0
11,I11,Обсяги залучення коштів бізнесу (іноземні замовники),Заклад вищої освіти,Суспільний,0.0
12,I12,Обсяги залучення коштів бізнесу (українські замовники),Заклад вищої освіти,Суспільний,0.502
13,I13,Обсяги залучення коштів на наукове обладнання/устаткування,Заклад вищої освіти,Суспільний,0.396
14,I14,Обсяги залучення коштів на дослідження з позанаукових рахунків ЗВО**,Заклад вищої освіти,Суспільний,0.0
15,I15,"Кількість монографій, Scopus/WoS",Заклад вищої освіти,Суспільний,0.0
16,I16,"Кількість монографій, ОЄСР/ЄС",Заклад вищої освіти,Суспільний,0.005
17,I17,"Кількість монографій, Україна",Заклад вищої освіти,Суспільний,0.05
18,I18,"Кількість розділів монографій, Scopus/WoS",Заклад вищої освіти,Суспільний,0.001
19,I19,"Кількість статей, Scopus/WoS, Q1-Q2",Заклад вищої освіти,Суспільний,0.048
20,I20,"Кількість статей, Scopus/WoS, Q3-Q4",Заклад вищої освіти,Суспільний,0.247
21,I21,"Кількість статей у відкритому доступі, Scopus/WoS, Q1-Q4",Заклад вищої освіти,Суспільний,0.896
22,I22,"Кількість статей, категорія Б",Заклад вищої освіти,Суспільний,1.455
23,I23,Кількість препринтів,Заклад вищої освіти,Суспільний,0.0
24,I24,"Кількість словників, довідників, каталогів тощо",Заклад вищої освіти,Суспільний,0.898
25,I25,Кількість видань категорії А,Заклад вищої освіти,Суспільний,0.0
26,I26,"Кількість патентів України на винахід, сорти рослин",Заклад вищої освіти,Суспільний,0.0
27,I27,Кількість патентів України на корисну модель,Заклад вищої освіти,Суспільний,0.0
28,I28,Кількість свідоцтв України на комп програму,Заклад вищої освіти,Суспільний,0.0
29,I29,Кількість міжнародних патентів,Заклад вищої освіти,Суспільний,0.0
30,I30,"Кількість заявок на міжнародні гранти (Горизонт, НАТО, УНТЦ, Євратом)",Заклад вищої освіти,Суспільний,0.0
31,I31,"Кількість заявок на міжнародні гранти (Горизонт, НАТО, УНТЦ, Євратом) як координатор",Заклад вищої освіти,Суспільний,0.0
32,I32,"Кількість заявок на міжнародні гранти (Горизонт, НАТО, УНТЦ, Євратом), які профінансовані",Заклад вищої освіти,Суспільний,0.0
33,I33, Кількість заявок на загальнодержавні гранти,Заклад вищої освіти,Суспільний,0.0
34,I34,"Кількість заявок на загальнодержавні гранти, які профінансовані",Заклад вищої освіти,Суспільний,0.0
35,I35,Кількість заявок на інші міжнародні гранти,Заклад вищої освіти,Суспільний,0.009
36,I36,"Кількість заявок на інші міжнародні гранти, як координатор",Заклад вищої освіти,Суспільний,0.25
37,I37,"Кількість заявок на інші міжнародні гранти, як переможець",Заклад вищої освіти,Суспільний,0.286
38,I1,Захисти доктори філософії,Наукова установа,Суспільний,0.017
