Назва Установи / Середньорічні показники,Напрям,Установа,Підпорядкування,Регіон,ЄДРПОУ,Область,"Сума вагових коєфіцієнтів, I*",Середній бал Експерта,Зважена сумарна оцінка (80/20),Нормована зважена сумарна оцінка,Регіональний коєфіцієнт,Коєфіцієнт руйнувань,Попередня атестаційна оцінка,Група
Національний юридичний університет імені Ярослава Мудрого,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",02071139,Харківська область,36.5469,6.1,30.4575,83.7868,1.1,1.298,100,А
Сумський державний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",05408289,Сумська область,43.689,7,36.3512,100,1.1,1,100,А
Національний університет біоресурсів і природокористування України,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,00493706,Київ,36.794,6.1333,30.6619,84.3491,1,1,84,А
Харківський національний університет імені В.Н. Каразіна,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",02071205,Харківська область,30.0178,5.9667,25.2076,69.3446,1.1,1.06,81,А
Київський національний університет імені Тараса Шевченка,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02070944,Київ,33.9394,6.5187,28.4553,78.2788,1,1.028,80,А
Національний університет «Києво-Могилянська академія»,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,16459396,Київ,32.7942,7.4333,27.722,76.2616,1,1,76,А
Харківський національний економічний університет імені Семена Кузнеця,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",02071211,Харківська область,30.101,5.3667,25.1541,69.1974,1.1,1,76,А
Донецький національний університет імені Василя Стуса,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",02070803,Донецька область,28.7447,3.7,23.7358,65.2958,1.15,1,75,А
Одеський національний економічний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Дніпропетровська, Одеська, Чернігівська область",02071079,Одеська область,28.4164,4.2667,23.5865,64.8851,1.05,1.068,73,Б
Волинський національний університет імені Лесі Українки,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02125102,Волинська область,29.9882,4.4667,24.8839,68.4541,1,1,68,Б
Національний університет «Львівська політехніка»,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02071010,Львівська область,29.16,5.9,24.508,67.4201,1,1,67,Б
"Державний університет ""Житомирська Політехніка"":",Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,05407870,Житомирська область,28.9646,4.4,24.0517,66.1648,1,1,66,Б
Поліський національний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,00493681,Житомирська область,27.9147,6.3,23.5918,64.8996,1,1,65,Б
Державний торговельно-економічний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,44470624,Київ,27.5842,6.1667,23.3007,64.0988,1,1,64,Б
Національний університет водного господарства та природокористування,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02071116,Рівненська область,28.0097,4.5,23.3078,64.1184,1,1,64,Б
Мелітопольський державний педагогічний університет імені Богдана Хмельницького,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",02125237,Запорізька область,23.649,4.5,19.8192,54.5214,1.15,1,63,Б
Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02070921,Київ,26.9533,7,22.9626,63.1688,1,1,63,Б
Східноукраїнський національний університет імені Володимира Даля,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",02070714,Луганська область,23.3141,5.8333,19.8179,54.5179,1.15,1,63,Б
Західноукраїнський національний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,33680120,Тернопільська область,24.6341,5.0333,20.7139,56.9827,1,1.089,62,Б
Запорізький національний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",02125243,Запорізька область,23.8331,4.9,20.0465,55.1467,1.1,1.004,61,Б
Сумський національний аграрний університет,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",04718013,Сумська область,23.9585,4.8333,20.1335,55.3861,1.1,1,61,Б
Національний університет «Острозька академія»,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,22554101,Рівненська область,25.0733,4.963,21.0512,57.9106,1,1,58,Б
